# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4 
TYPE F F F 
COUNT 1 1 1 
WIDTH 94645
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 94645
DATA ascii 
 0.1500650 -0.1930309 1.1882615
 0.0544045 -0.2413254 1.1764817
 0.1535557 -0.1562900 1.2801493
 0.1727526 -0.2224187 1.2372900
 -0.0517697 -0.3478982 1.6991733
 0.0776584 -0.2739860 1.2527860
 -0.8320802 -0.2425666 2.1546819
 0.0011730 -0.2714280 1.2616001
 0.0184528 -0.2630453 1.1915122
 0.2026575 -0.2044276 1.2053447
 0.1775745 -0.1990145 1.2075952
 0.2147493 -0.2605214 1.1260144
 -0.9319746 -0.1410486 1.6454962
 0.1763026 -0.2126749 1.1655399
 0.2101045 -0.2231365 1.2195002
 0.1919542 -0.2278000 1.1710283
 0.4267265 -0.2107932 1.0856415
 0.4189832 -0.2123248 1.2079924
 0.4191749 -0.1484331 1.6312957
 -0.6516216 -0.2033319 1.2127060
 -0.1927839 0.0079367 0.9437384
 0.4182380 -0.1668492 1.6412338
 0.4265860 -0.1259086 1.2276238
 0.2468876 -0.0681874 1.5837764
 0.0868324 -0.0432320 0.8077449
 -0.1485556 0.0015134 1.0509566
 0.0776714 -0.0144760 0.7710121
 0.2592665 -0.2145765 1.2386233
 0.2178959 -0.2159825 1.1396036
 -0.4035114 0.0153861 0.9130349
 -0.4113631 0.0160332 0.9023190
 -0.8286510 -0.0860188 1.8553631
 -0.7403175 0.0116354 1.3222337
 -0.7778289 -0.0010492 1.3453192
 0.0637564 -0.0161621 0.8180208
 -0.7899060 -0.0027520 1.4873344
 0.0936576 -0.0789867 0.8412312
 0.4469008 -0.1082247 1.2213501
 -0.4623472 0.0100662 0.9038085
 -0.0243462 -0.0017144 1.0053707
 -0.0549691 0.0062773 0.8232165
 -0.0553051 0.0019708 0.9939950
 0.2404804 -0.1427720 1.6344959
 0.5263901 -0.1575174 1.6843752
 0.4075913 -0.1445974 1.4905579
 -0.0104917 0.0017446 0.8368704
 0.0144962 0.0004792 0.9217947
 0.0739955 -0.0081542 0.9781665
 -0.3725027 0.0117617 0.9097099
 0.0565786 0.0005588 1.0170624
 0.0268492 0.0009062 0.9419756
 -0.0788933 0.0019240 0.8786866
 0.1645318 -0.0370354 0.7381780
